project_name,algorithm,file_id,f1,G,MCC
camel-1.0,ibea,camel-1.0_exp_1_train,0.218867925,0.356944389,0.146349769
camel-1.0,ibea,camel-1.0_exp_20_train,0.168674699,0.306995166,0.140707842
camel-1.0,ibea,camel-1.0_exp_21_train,0.155737705,0.293161057,0.148427887
camel-1.0,ibea,camel-1.0_exp_22_train,0.118644068,0.252631651,0.132845762
camel-1.0,ibea,camel-1.0_exp_23_train,0.228571429,0.368855557,0.103729743
camel-1.0,ibea,camel-1.0_exp_24_train,0.254180602,0.394626846,0.085212962
camel-1.0,ibea,camel-1.0_exp_25_train,0.248275862,0.387956446,0.102068081
camel-1.0,ibea,camel-1.0_exp_26_train,0.086956522,0.214065142,0.115166508
camel-1.0,ibea,camel-1.0_exp_27_train,0.262068966,0.399711725,0.123090234
camel-1.0,ibea,camel-1.0_exp_28_train,0.11965812,0.253285292,0.154200456
camel-1.0,ibea,camel-1.0_exp_29_train,0.174603175,0.313391585,0.134112375
camel-1.0,ibea,camel-1.0_exp_2_train,0.086956522,0.214065142,0.115166508
camel-1.0,ibea,camel-1.0_exp_30_train,0.320241692,0.454490694,0.106573542
camel-1.0,ibea,camel-1.0_exp_31_train,0.07826087,0.202818155,0.0922538
camel-1.0,ibea,camel-1.0_exp_32_train,0.135021097,0.270424207,0.160707475
camel-1.0,ibea,camel-1.0_exp_33_train,0.165975104,0.302343455,0.192429878
camel-1.0,ibea,camel-1.0_exp_34_train,0.233082707,0.369543318,0.16558308
camel-1.0,ibea,camel-1.0_exp_35_train,0.272108844,0.408942001,0.126293709
camel-1.0,ibea,camel-1.0_exp_36_train,0.24,0.377683145,0.139774837
camel-1.0,ibea,camel-1.0_exp_37_train,0.258064516,0.393937907,0.153564879
camel-1.0,ibea,camel-1.0_exp_38_train,0.254901961,0.396314155,0.067994722
camel-1.0,ibea,camel-1.0_exp_39_train,0.31097561,0.446507929,0.099382478
camel-1.0,ibea,camel-1.0_exp_3_train,0.248175182,0.384408922,0.156701269
camel-1.0,ibea,camel-1.0_exp_40_train,0.198473282,0.337977847,0.125507322
camel-1.0,ibea,camel-1.0_exp_41_train,0.12295082,0.259116653,0.082843472
camel-1.0,ibea,camel-1.0_exp_42_train,0.125523013,0.260820265,0.123011463
camel-1.0,ibea,camel-1.0_exp_43_train,0.125523013,0.260820265,0.123011463
