file_id,algorithm,f1,G
camel-1.2_exp_4_train,IBEA,0.5455479452054794,0.6345716323512811
camel-1.2_exp_4_train,MonoGP,0.4397986577181209,0.5311266372207758
camel-1.2_exp_4_train,NSGA-II,0.5102941176470588,0.6116840501553193
camel-1.2_exp_4_train,NSGA-III,0.4842592592592593,0.5900627914480029
camel-1.2_exp_4_train,RS,0.3778947368421053,0.4705863576189019
camel-1.2_exp_4_train,SPEA2,0.4616197183098592,0.5644477837037561
camel-1.2_exp_5_train,IBEA,0.5288167938931297,0.6297400769138877
camel-1.2_exp_5_train,MonoGP,0.3665517241379311,0.489502319256775
camel-1.2_exp_5_train,NSGA-II,0.4709459459459459,0.5658959682791617
camel-1.2_exp_5_train,NSGA-III,0.4191605839416058,0.531927241487049
camel-1.2_exp_5_train,RS,0.3153237410071943,0.4312776316439153
camel-1.2_exp_5_train,SPEA2,0.4574324324324325,0.5537065715996661
camel-1.2_exp_6_train,IBEA,0.4795454545454546,0.5654136712877763
camel-1.2_exp_6_train,MonoGP,0.3848148148148149,0.4967300915165148
camel-1.2_exp_6_train,NSGA-II,0.4647163120567376,0.5681810309038489
camel-1.2_exp_6_train,NSGA-III,0.4433006535947713,0.5335962479373065
camel-1.2_exp_6_train,RS,0.317107438016529,0.4467064318469769
camel-1.2_exp_6_train,SPEA2,0.4508064516129032,0.537299822578361
camel-1.2_exp_7_train,IBEA,0.431015037593985,0.545630447228633
camel-1.2_exp_7_train,MonoGP,0.4461904761904762,0.5392008167178624
camel-1.2_exp_7_train,NSGA-II,0.4545302013422819,0.5497461669848761
camel-1.2_exp_7_train,NSGA-III,0.3399606299212599,0.4701681779387234
camel-1.2_exp_7_train,RS,0.4042105263157895,0.4947461669848761
camel-1.2_exp_7_train,SPEA2,0.4727611940298507,0.5808741662076999
camel-1.2_exp_8_train,IBEA,0.4349378881987578,0.5114527162128107
camel-1.2_exp_8_train,MonoGP,0.4561111111111111,0.5511017723967633
camel-1.2_exp_8_train,NSGA-II,0.4045620437956205,0.5190321817555711
camel-1.2_exp_8_train,NSGA-III,0.6116666666666667,0.6896209377333318
camel-1.2_exp_8_train,RS,0.3955319148936171,0.5006756904139754
camel-1.2_exp_8_train,SPEA2,0.3583333333333333,0.4765654358942829
camel-1.2_exp_9_train,IBEA,0.5147959183673471,0.6063260927187247
camel-1.2_exp_9_train,MonoGP,0.4192753623188407,0.5242299119556689
camel-1.2_exp_9_train,NSGA-II,0.4359589041095891,0.5369179367089815
camel-1.2_exp_9_train,NSGA-III,0.4875850340136054,0.582045662061831
camel-1.2_exp_9_train,RS,0.3101360544217687,0.4158997613048048
camel-1.2_exp_9_train,SPEA2,0.4742753623188407,0.579229911955669
lucene-2.4_exp_0_train,IBEA,0.6804621848739496,0.6107156092251973
lucene-2.4_exp_0_train,MonoGP,0.6533333333333333,0.5840433049287883
lucene-2.4_exp_0_train,NSGA-II,0.6214912280701753,0.5718824077010147
lucene-2.4_exp_0_train,NSGA-III,0.7192148760330578,0.6464865258388796
lucene-2.4_exp_0_train,RS,0.6708547008547008,0.6228625492373729
lucene-2.4_exp_0_train,SPEA2,0.7869047619047619,0.7036867861528767
lucene-2.4_exp_10_train,IBEA,0.7024193548387097,0.6045391736013231
lucene-2.4_exp_10_train,MonoGP,0.6366666666666666,0.5985236536572965
lucene-2.4_exp_10_train,NSGA-II,0.6861570247933884,0.6045391736013231
lucene-2.4_exp_10_train,NSGA-III,0.7429487179487181,0.6983636703498202
lucene-2.4_exp_10_train,RS,0.664915254237288,0.6101843996644798
lucene-2.4_exp_10_train,SPEA2,0.6916666666666668,0.6367600018635151
lucene-2.4_exp_11_train,IBEA,0.6463592233009708,0.6547946835776045
lucene-2.4_exp_11_train,MonoGP,0.6585245901639344,0.5778258131342853
lucene-2.4_exp_11_train,NSGA-II,0.6657766990291263,0.6747931267387931
lucene-2.4_exp_11_train,NSGA-III,0.6792056074766355,0.6729444938983051
lucene-2.4_exp_11_train,RS,0.4868539325842696,0.5453847173594478
lucene-2.4_exp_11_train,SPEA2,0.6736486486486487,0.6484136204664821
lucene-2.4_exp_12_train,IBEA,0.7026859504132232,0.6255461994758755
lucene-2.4_exp_12_train,MonoGP,0.6972727272727273,0.6331923328657014
lucene-2.4_exp_12_train,NSGA-II,0.6916666666666667,0.6821356550152815
lucene-2.4_exp_12_train,NSGA-III,0.7140756302521007,0.6522500481871801
lucene-2.4_exp_12_train,RS,0.5360377358490566,0.5284579213334161
lucene-2.4_exp_12_train,SPEA2,0.762704918032787,0.6956862694070989
lucene-2.4_exp_13_train,IBEA,0.6444690265486726,0.6045391736013231
lucene-2.4_exp_13_train,MonoGP,0.6866666666666665,0.6256127429912348
lucene-2.4_exp_13_train,NSGA-II,0.7644957983193277,0.7142096894281155
lucene-2.4_exp_13_train,NSGA-III,0.6974137931034484,0.6493749373373743
lucene-2.4_exp_13_train,RS,0.6699999999999999,0.6048533566786943
